col,uid_ini,uid_rec,uid_win,interac_type,sexi,sexr
mm,12,14,14,sit_bc,M,F
mm,14,12,14,agr_chase,F,M
mm,14,21,14,agr_chase,F,F
mm,16,17,NA,sit_bc,F,F
mm,16,17,16,allogroom,F,F
mm,16,17,16,sit_bc,F,F
mm,16,17,16,allogroom,F,F
mm,15,16,16,sit_bc,M,F
mm,15,16,16,sit_<1m,M,F
mm,NA,15,NA,greet,NA,M
mm,14,NA,14,agr_chase,F,NA
mm,14,15,14,greet,F,M
mm,14,15,14,agr_bite,F,M
mm,14,15,14,agr_chase,F,M
mm,14,15,14,disp_simple,F,M
mm,13,15,13,play_pounce,M,M
mm,13,18,NA,play_grab/slap/push,M,M
mm,13,18,NA,play_wrestle,M,M
mm,13,15,NA,play_grab/slap/push,M,M
mm,13,15,NA,play_wrestle,M,M
mm,18,15,NA,play_pounce,M,M
mm,15,18,15,play_wrestle,M,M
mm,15,18,15,play_grab/slap/push,M,M
mm,15,18,15,play_grab/slap/push,M,M
mm,15,18,15,play_wrestle,M,M
mm,15,18,15,play_grab/slap/push,M,M
mm,15,18,15,play_wrestle,M,M
mm,15,18,15,play_wrestle,M,M
mm,15,18,15,play_grab/slap/push,M,M
mm,15,18,15,play_wrestle,M,M
mm,12,NA,12,sit_<1m,M,NA
mm,12,NA,NA,sit_<1m,M,NA
mm,14,20,14,disp_simple,F,F
mm,14,20,14,agr_chase,F,F
mm,NA,NA,NA,greet,NA,NA
mm,16,21,16,greet,F,F
mm,16,21,16,disp_proximity,F,F
mm,17,21,17,greet,F,F
mm,21,17,21,allogroom,F,F
mm,21,17,21,allogroom,F,F
mm,17,21,21,sit_<1m,F,F
mm,17,21,21,greet,F,F
mm,16,22,NA,greet,F,F
mm,14,21,14,sit_<1m,F,F
mm,22,21,NA,sit_<1m,F,F
mm,21,22,NA,greet,F,F
mm,NA,NA,NA,agr_chase,NA,NA
mm,NA,NA,NA,agr_chase,NA,NA
mm,22,12,12,greet,F,M
mm,12,22,12,play_wrestle,M,F
mm,12,22,12,play_grab/slap/push,M,F
mm,12,22,12,play_grab/slap/push,M,F
mm,22,12,12,play_grab/slap/push,F,M
